materials,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14,Product 15,Product 16,Product 17,Product 18,Product 19,Product 20,Product 21,Product 22,Product 23,Product 24,Product 25,Product 26,Product 27,Product 28,Product 29,Product 30,Product 31,Product 32,Product 33,Product 34,Product 35,Product 36,Product 37,Product 38,Product 39,Product 40,Product 41,Product 42,Product 43,Product 44,Product 45,Product 46,Product 47,Product 48,Product 49,Product 50,Product 51,Product 52,Product 53,Product 54,Product 55,Product 56,Product 57,Product 58,Product 59,Product 60,Product 61,Product 62,Product 63,Product 64,Product 65,Product 66,Product 67,Product 68,Product 69,Product 70,Product 71,Product 72,Product 73,Product 74,Product 75,Product 76,Product 77,Product 78,Product 79,Product 80,Product 81,Product 82,Product 83,Product 84,Product 85,Product 86,Product 87,Product 88,Product 89,Product 90,Product 91,Product 92,Product 93,Product 94,Product 95,Product 96,Product 97,Product 98,Product 99,Product 100
11,27.52,0.0,0.0,0.0,0.0,53.72,0.0,49.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,0.0,39.6,44.07,0.0,0.0,47.89,0.0,0.0,33.52,41.51,0.0,46.29,0.0,0.0,37.55,35.02,0.0,0.0,30.35,0.0,0.0,38.02,0.0,0.0,0.0,0.0,29.03,58.42,36.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.11,36.82,0.0,0.0,43.02,52.13,50.68,0.0,0.0,0.0,0.0,40.71,0.0,0.0,39.84,65.86,0.0,58.66,0.0,0.0,44.03,0.0,0.0,51.98,0.0,25.75,0.0,37.7,0.0,0.0,0.0,0.0,51.28,0.0,37.35,0.0,0.0,33.63,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,39.74,0.0,0.0,0.0,0.0,39.42,0.0,0.0,0.0,44.39,0.0,0.0,0.0,0.0,37.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.56,54.5,0.0,26.77,60.42,48.74,51.76,55.64,74.09,0.0,49.47,0.0,0.0,0.0,0.0,0.0,36.12,0.0,46.81,0.0,0.0,61.1,0.0,26.6,0.0,0.0,34.12,27.02,0.0,0.0,0.0,0.0,35.99,51.32,0.0,0.0,54.16,34.91,0.0,21.85,0.0,0.0,0.0,48.17,47.03,0.0,41.58,27.4,45.2,0.0,40.55,0.0,0.0,23.39,27.81,60.51,0.0,0.0,0.0,64.32,0.0,0.0,0.0,0.0,0.0,28.08,0.0,29.39,0.0,0.0,0.0,0.0,0.0
13,41.97,0.0,0.0,34.19,0.0,0.0,0.0,0.0,0.0,0.0,46.35,0.0,0.0,0.0,0.0,45.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.53,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.29,0.0,0.0,36.84,0.0,38.24,34.95,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3,0.0,0.0,0.0,0.0,39.41,39.85,0.0,28.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,31.54,0.0,0.0,41.87,0.0,0.0,47.83,39.7,0.0,0.0,40.3,0.0,43.51,47.16,0.0,43.66,39.32,0.0,38.19,0.0,28.61,0.0,56.17,0.0,0.0,35.9,46.8,0.0,0.0
14,0.0,0.0,0.0,0.0,33.08,0.0,0.0,0.0,46.49,44.94,43.25,46.8,0.0,0.0,0.0,0.0,0.0,0.0,43.56,0.0,0.0,22.3,65.71,0.0,54.14,44.59,0.0,0.0,0.0,44.01,0.0,36.34,0.0,37.82,43.4,0.0,0.0,0.0,0.0,0.0,0.0,33.83,0.0,0.0,0.0,22.26,0.0,0.0,0.0,0.0,32.95,0.0,0.0,30.91,0.0,0.0,0.0,30.75,0.0,0.0,0.0,54.5,0.0,27.66,50.05,0.0,35.8,0.0,38.83,20.63,0.0,41.71,49.56,0.0,0.0,58.92,0.0,0.0,0.0,31.31,0.0,0.0,53.88,0.0,0.0,0.0,0.0,28.82,0.0,35.39,0.0,0.0,50.66,0.0,0.0,0.0,0.0,16.62,0.0,22.58
15,33.53,0.0,0.0,0.0,0.0,0.0,68.3,0.0,0.0,0.0,23.15,0.0,0.0,59.24,0.0,0.0,0.0,16.84,0.0,0.0,0.0,57.55,0.0,0.0,0.0,0.0,0.0,0.0,33.1,39.13,0.0,0.0,0.0,0.0,0.0,0.0,31.32,29.66,0.0,0.0,0.0,33.48,37.99,0.0,0.0,0.0,0.0,38.3,32.3,35.23,0.0,0.0,0.0,0.0,27.17,31.03,50.64,0.0,0.0,0.0,52.88,0.0,0.0,34.44,0.0,0.0,0.0,0.0,41.04,22.7,0.0,0.0,26.72,0.0,0.0,30.24,0.0,0.0,0.0,0.0,0.0,20.77,0.0,0.0,22.35,0.0,0.0,0.0,0.0,0.0,0.0,33.07,0.0,0.0,53.66,0.0,0.0,0.0,50.31,0.0
16,30.42,32.51,27.54,0.0,48.7,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.99,0.0,40.39,27.57,34.16,0.0,0.0,47.33,0.0,46.86,0.0,22.76,0.0,0.0,0.0,0.0,43.34,0.0,0.0,0.0,0.0,0.0,47.2,0.0,0.0,29.28,0.0,0.0,26.57,19.88,0.0,0.0,26.02,0.0,0.0,0.0,0.0,0.0,0.0,41.71,0.0,32.09,0.0,0.0,0.0,0.0,0.0,39.01,38.54,0.0,0.0,48.0,12.54,0.0,0.0,0.0,47.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88,0.0,33.82,0.0,0.0,0.0,48.14,0.0,0.0,0.0,31.08,0.0,0.0,28.59,0.0,0.0,42.76
17,0.0,0.0,0.0,0.0,0.0,41.22,0.0,0.0,30.49,31.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.74,23.42,0.0,0.0,0.0,0.0,48.35,36.53,0.0,27.18,0.0,0.0,0.0,0.0,0.0,17.37,0.0,0.0,0.0,34.71,0.0,0.0,0.0,28.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.29,0.0,0.0,0.0,0.0,0.0,24.38,0.0,0.0,28.37,0.0,58.12,0.0,0.0,0.0,0.0,43.17,0.0,0.0,0.0,45.92,0.0,0.0,0.0,0.0,29.04,0.0,0.0,40.19,0.0,0.0,33.93,0.0,48.17,0.0,0.0,0.0,52.36,48.16,0.0,0.0,0.0,0.0,32.72,0.0
18,0.0,0.0,34.59,0.0,57.03,57.18,38.2,0.0,0.0,35.09,34.3,30.28,0.0,0.0,0.0,34.86,0.0,0.0,0.0,0.0,31.19,0.0,0.0,34.5,0.0,0.0,30.92,54.0,50.5,0.0,55.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.82,0.0,0.0,38.97,44.85,0.0,0.0,0.0,0.0,0.0,39.82,40.28,30.29,50.41,0.0,0.0,46.64,0.0,0.0,0.0,0.0,0.0,27.77,0.0,44.01,0.0,0.0,0.0,0.0,26.44,0.0,0.0,0.0,0.0,0.0,24.61,0.0,40.32,19.53,0.0,0.0,42.72,41.47,0.0,0.0,28.08,0.0,0.0,0.0,0.0,46.42,24.47,0.0,0.0,45.05,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84,0.0,25.16,0.0,0.0,26.13,40.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,23.31,0.0,0.0,0.0,0.0,0.0,32.6,0.0,50.34,32.33,0.0,0.0,28.69,0.0,38.48,0.0,0.0,0.0,47.75,0.0,0.0,0.0,0.0,24.5,0.0,0.0,26.83,44.7,40.72,0.0,0.0,0.0,0.0,24.68,0.0,34.85,0.0,31.56,0.0,0.0,0.0,42.84,0.0,0.0,0.0,30.52,0.0,0.0,0.0,0.0,0.0,0.0,31.14,0.0,31.67,28.65,53.13,0.0,23.24,0.0,0.0,35.98,0.0,0.0,0.0,44.59,0.0,32.9,0.0,0.0,33.89,47.73
20,0.0,0.0,0.0,42.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96,44.38,30.66,39.14,0.0,0.0,0.0,71.75,0.0,45.48,0.0,0.0,0.0,41.75,0.0,19.28,44.78,0.0,0.0,0.0,23.89,16.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,42.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.62,0.0,22.49,0.0,0.0,0.0,0.0,53.64,0.0,0.0,47.59,27.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.11,0.0,0.0,0.0,31.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79,0.0,0.0
21,42.98,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,23.41,0.0,40.21,0.0,35.72,0.0,0.0,40.59,31.48,0.0,0.0,0.0,47.06,36.16,0.0,0.0,0.0,22.79,0.0,0.0,0.0,0.0,18.03,0.0,0.0,0.0,41.13,39.35,0.0,0.0,0.0,0.0,43.43,0.0,0.0,0.0,0.0,31.42,34.69,0.0,0.0,0.0,0.0,0.0,33.24,51.44,0.0,30.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,29.68,32.89,36.17,41.85,0.0,0.0,37.76,42.99,0.0,0.0,0.0,0.0,35.24,0.0,0.0,0.0,29.7,0.0,25.1,0.0,32.26,43.27,43.0,0.0,0.0,48.31,0.0,0.0,0.0
22,0.0,23.03,0.0,0.0,0.0,0.0,26.56,46.28,46.37,0.0,32.26,72.59,0.0,0.0,64.73,54.71,0.0,33.43,0.0,0.0,34.64,29.64,0.0,0.0,0.0,37.96,41.22,20.51,0.0,29.99,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.18,33.37,0.0,40.31,36.63,0.0,17.1,0.0,27.79,37.71,77.24,35.55,0.0,0.0,0.0,31.58,0.0,32.86,0.0,52.37,57.08,0.0,52.09,33.26,43.76,0.0,72.78,0.0,32.3,29.7,0.0,0.0,0.0,49.05,53.04,37.21,0.0,0.0,0.0,27.16,0.0,21.54,0.0,46.42,62.04,0.0,0.0,63.29,0.0,0.0,0.0,43.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.17
23,0.0,0.0,0.0,48.16,0.0,50.85,0.0,0.0,24.9,0.0,0.0,55.22,0.0,0.0,0.0,0.0,50.04,39.46,28.19,0.0,0.0,68.72,38.05,0.0,32.79,0.0,0.0,37.66,0.0,0.0,0.0,27.8,0.0,0.0,0.0,22.5,40.92,0.0,0.0,0.0,0.0,0.0,50.32,30.07,41.62,0.0,45.41,34.05,40.14,0.0,0.0,70.52,44.95,0.0,17.64,0.0,0.0,0.0,37.17,0.0,0.0,0.0,0.0,0.0,0.0,21.62,30.43,0.0,0.0,0.0,17.49,23.31,15.46,0.0,62.08,37.39,32.62,31.81,26.97,17.46,0.0,0.0,30.38,0.0,0.0,0.0,42.16,0.0,0.0,0.0,0.0,0.0,37.88,0.0,0.0,29.32,15.45,0.0,0.0,40.36
24,0.0,57.44,53.92,20.52,23.71,52.65,41.41,0.0,0.0,0.0,0.0,0.0,38.44,0.0,0.0,0.0,0.0,26.74,0.0,41.42,0.0,31.34,0.0,0.0,0.0,0.0,24.66,27.37,0.0,0.0,0.0,45.92,0.0,0.0,33.54,0.0,56.56,44.73,38.36,24.48,0.0,0.0,0.0,0.0,0.0,47.61,48.21,27.09,0.0,36.02,0.0,0.0,48.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.83,44.23,49.61,0.0,50.47,0.0,59.48,0.0,0.0,0.0,0.0,63.41,0.0,32.35,0.0,34.81,0.0,0.0,0.0,40.19,0.0,28.89,51.52,0.0,0.0,43.14,0.0,49.86,31.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,35.95,0.0,19.18,0.0,0.0,54.8,0.0,0.0,0.0,0.0,30.37,28.89,0.0,40.59,0.0,38.2,0.0,31.65,0.0,0.0,0.0,78.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.96,60.57,0.0,0.0,40.86,31.9,0.0,44.63,0.0,0.0,35.32,0.0,0.0,0.0,39.19,35.19,47.31,54.49,0.0,0.0,0.0,0.0,0.0,0.0,33.45,43.95,30.35,0.0,39.61,0.0,0.0,56.05,0.0,0.0,0.0,0.0,39.28,0.0,0.0,0.0,0.0,0.0,32.1,0.0,0.0,57.29,0.0,37.09,21.71,0.0,58.22,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.82,53.14,45.79,0.0,0.0,0.0,23.77
26,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.59,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38,38.95,23.83,51.18,0.0,0.0,0.0,27.63,41.09,31.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85,30.77,0.0,56.21,0.0,49.5,0.0,37.7,0.0,0.0,28.91,0.0,0.0,30.65,0.0,0.0,0.0,47.57,0.0,47.41,36.37,0.0,0.0,28.29,0.0,0.0,44.87,35.93,0.0,27.23,35.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.91,0.0,42.84
27,60.19,24.04,0.0,0.0,0.0,34.72,0.0,31.4,36.13,23.34,0.0,42.71,23.0,42.52,28.29,0.0,26.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.11,54.44,41.19,23.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43,0.0,55.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.46,0.0,26.71,0.0,0.0,29.93,47.21,0.0,39.22,0.0,0.0,0.0,0.0,0.0,49.0,0.0,23.34,0.0,35.48,0.0,0.0,53.69,44.39,58.14,0.0,42.39,0.0,0.0,55.73,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.53,0.0,0.0,0.0,46.05,0.0,45.25,0.0,0.0,38.2,0.0,0.0,54.24,43.97,0.0,47.51,0.0,22.56,0.0,38.21,53.64,0.0,0.0,0.0,31.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.15,41.63,0.0,45.81,0.0,0.0,0.0,0.0,36.45,37.87,0.0,0.0,0.0,36.27,0.0,0.0,0.0,0.0,25.86,42.68,0.0,0.0,0.0,0.0,0.0,0.0,35.58,43.15,0.0,63.21,0.0,0.0,0.0,29.87,33.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15,0.0,0.0,31.53,0.0,0.0
29,0.0,0.0,31.02,0.0,15.78,0.0,0.0,32.91,0.0,0.0,0.0,0.0,26.59,0.0,0.0,0.0,0.0,24.4,0.0,30.9,31.36,32.07,0.0,0.0,0.0,0.0,58.36,0.0,0.0,74.68,0.0,0.0,0.0,0.0,0.0,54.93,0.0,0.0,0.0,0.0,0.0,0.0,34.66,0.0,38.56,0.0,50.95,0.0,0.0,43.24,0.0,0.0,0.0,0.0,27.26,0.0,48.07,0.0,32.02,0.0,0.0,0.0,0.0,0.0,0.0,38.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,56.22,0.0,0.0,39.56,0.0,31.83,0.0,34.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.08,19.13,0.0,0.0,47.49,0.0
30,0.0,0.0,0.0,28.05,0.0,34.04,0.0,0.0,0.0,0.0,0.0,0.0,21.35,0.0,0.0,0.0,0.0,0.0,42.29,0.0,0.0,0.0,0.0,0.0,62.35,0.0,0.0,0.0,0.0,0.0,34.3,28.55,38.57,0.0,0.0,30.1,0.0,0.0,40.71,0.0,0.0,0.0,51.43,0.0,42.28,0.0,51.03,0.0,0.0,0.0,36.68,0.0,0.0,16.97,0.0,0.0,0.0,0.0,34.32,0.0,0.0,0.0,0.0,0.0,0.0,42.35,0.0,0.0,50.17,0.0,41.16,38.1,25.3,0.0,0.0,0.0,50.61,0.0,0.0,0.0,27.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.09,0.0,0.0,0.0,44.66,0.0,37.63,0.0
31,0.0,0.0,31.35,0.0,35.07,0.0,37.53,57.09,27.93,32.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.17,29.79,35.75,27.21,40.56,27.16,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,38.26,0.0,0.0,35.9,0.0,36.57,0.0,0.0,0.0,41.07,64.89,33.34,0.0,47.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.64,0.0,0.0,0.0,42.6,0.0,0.0,80.86,0.0,20.16,29.97,0.0,53.76,38.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62,0.0,31.9,0.0,63.84,0.0,0.0
32,33.91,24.58,0.0,52.74,0.0,0.0,30.61,30.34,0.0,8.49,0.0,0.0,0.0,0.0,0.0,47.73,30.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.72,0.0,33.51,0.0,0.0,0.0,0.0,39.55,0.0,0.0,46.22,41.76,41.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.07,0.0,0.0,0.0,0.0,0.0,35.81,40.91,0.0,0.0,0.0,0.0,41.2,0.0,0.0,0.0,31.34,30.27,41.41,38.94,41.22,0.0,33.86,51.39,28.85,0.0,0.0,75.0,0.0,62.73,0.0,50.89,50.98,36.26,38.21,42.24,40.93,0.0,40.82,35.33,0.0
